poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,dem,rep,ind
83375,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,8/5/23,8/8/23,,"",,178658,1178,rv,,rv,,8/9/23 09:56,"",https://docs.cdn.yougov.com/gr0zwln1rr/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,42.0,
83379,1347,Cygnal Political,"","",Cygnal,67,Cygnal,A,,,8/1/23,8/3/23,,"",,178676,2000,lv,,lv,,8/10/23 09:57,"",https://www.cygn.al/new-monthly-national-poll-majority-support-abortion-ban-vivek-rises-biden-corruption-probe-gains-steam-half-believe-government-lied-about-ufos-and-more/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.4,45.3,
83331,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/29/23,8/1/23,,"",,178374,1324,rv,,rv,,8/2/23 10:19,"",https://docs.cdn.yougov.com/nrdcezwpcn/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,43.0,
83330,294,McLaughlin,1989,America's New Majority Project,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,7/27/23,7/30/23,,"",,178315,2000,lv,,lv,,8/2/23 09:20,"",https://americasnewmajorityproject.com/wp-content/uploads/2023/08/20230727-30-National-ANMP-Topline.pdf,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,39.8,44.2,
83316,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,A/B,Online Panel,,7/24/23,7/27/23,,"",,178210,1013,lv,,lv,,7/31/23 21:30,"",https://echelonin.wpenginepowered.com/wp-content/uploads/July-2023-Omnibus-Topline-EXTERNAL.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,45.0,
83287,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/22/23,7/25/23,,"",,176124,1306,rv,,rv,,7/26/23 10:07,"",https://docs.cdn.yougov.com/pvpz4fi6ym/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,39.0,
83290,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,7/19/23,7/24/23,,"",,176144,1000,lv,,lv,,7/26/23 13:28,"",https://mclaughlinonline.com/pols/wp-content/uploads/2023/07/National-July-Presentation-RELEASE-07-24-23.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,48.0,
83307,1701,NewsNation/Decision Desk HQ,"","",NewsNation,696,NewsNation,B/C,Online Panel,,7/17/23,7/18/23,,"",,177410,1000,rv,,rv,,7/27/23 15:37,"",https://www.newsnationnow.com/polls/poll-what-do-voters-think-about-crime-in-the-us/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.57,44.83,
83233,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/15/23,7/18/23,,"",,175738,1315,rv,,rv,,7/19/23 09:50,"",https://docs.cdn.yougov.com/ay6e0ph68l/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,38.0,
83249,294,McLaughlin,1989,America's New Majority Project,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,7/13/23,7/16/23,,"",,175847,2000,lv,,lv,,7/21/23 10:52,"",https://americasnewmajorityproject.com/wp-content/uploads/2023/07/20230713-16-State-of-Play-Slides.pdf,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,49.0,
83189,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/8/23,7/11/23,,"",,175549,1296,rv,,rv,,7/12/23 11:16,"",https://docs.cdn.yougov.com/03l1353cs3/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,40.0,
83166,356,OnMessage Inc.,1758,Senate Opportunity Fund,OnMessage,239,OnMessage Inc.,B/C,Online Panel,,7/5/23,7/6/23,,"",,175433,800,lv,,lv,,7/10/23 09:24,"",https://senopportunity.org/wp-content/uploads/2023/07/2023-07-SOF-44-PUBLIC-DECK49.pdf,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,47.0,
83143,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/1/23,7/5/23,,"",,175355,1350,rv,,rv,,7/5/23 17:01,"",https://docs.cdn.yougov.com/kpnwbn3sup/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,39.0,
83142,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,A/B,Online Panel,,6/26/23,6/29/23,,"",,175311,1020,lv,,lv,,7/5/23 09:34,"",https://echeloninsights.com/in-the-news/june-2023-omnibus/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,44.0,
83115,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,6/24/23,6/27/23,,"",,175130,1315,rv,,rv,,6/28/23 11:37,"",https://docs.cdn.yougov.com/ez0xfzdbfl/econtoplines.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,40.0,
83125,294,McLaughlin,1989,America's New Majority Project,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,6/22/23,6/25/23,,"",,175219,2000,lv,,lv,,6/29/23 09:58,"",https://americasnewmajorityproject.com/state-of-play-june-22-25-2023/,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,46.5,
83117,1347,Cygnal Political,"","",Cygnal,67,Cygnal,A,Online Panel/Text-to-Web,,6/20/23,6/22/23,,"",,175139,2010,lv,,lv,,6/28/23 12:40,"",https://www.cygn.al/poll-republicans-gain-narrow-lead-dems-open-to-rfk-jr-unity-ticket-ties-the-presidential-and-more/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.4,46.2,
83351,552,Winston,1312,Winning the Issues,The Winston Group,385,The Winston Group,A/B,,,6/19/23,6/21/23,,"",,178478,1000,rv,,rv,,8/7/23 10:29,"",https://www.winningtheissues.org/wp-content/uploads/2023/08/Winning-the-Issues-June-2023-National-Survey.pdf,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,45.0,
83067,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,,6/19/23,6/20/23,,"",,174944,1015,rv,,rv,,6/22/23 09:10,"",https://emersoncollegepolling.com/june-2023-national-third-party-candidacy-could-derail-president-bidens-reelection-bid/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,43.6,44.2,
